"TIF District ID","TIF District Name","Year TIF Ends","Category Description","Line Item Description","Fund and Project Balances","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","Through End Date"
"T-111","105th/Vincennes","2025","Current Obligations","CDOT - ADA Polling Place - Fernwood/Evers Schools","$-60,090","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Current Obligations","CDOT - Beverly Ridge Roadway Improvements","$0","$-1,600,000","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Current Obligations","DPD - SBIF Program","$-495,000","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Current Obligations","DPD - TIF Works 2024","$-300,000","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Current Obligations","IGA - CPS - Julian HS Turf Field","$0","$-3,500,000","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Current Obligations","Program Administration","$0","$-30,161","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Fund Balance","FY 2024 Year End Available Fund Balance","$9,864,753","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Revenue","Collection Loss","$0","$-358,560","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Revenue","Property Tax Extension","$0","$3,476,324","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-111","105th/Vincennes","2025","Surplus","Surplus TIF Funds - FY 2025","$0","$-6,997,266","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","CDOT - ADA Polling Place - Alex Haley Academy/Dunne Technology Academy","$-23,341","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","CDOT - Lighting - decorative pole replacement","$-12,895","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","DPD - SBIF Program","$-974,999","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","DPD - Study - Roseland Community Medical District Plan - ISW - Corridor 12","$-4,557","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","ISW - Admin - Phase I - Corridor 12 - Additional Funding","$0","$-14,345","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Current Obligations","Program Administration","$0","$-10,453","$-10,748","$-11,044","$-11,340","$-11,636","$-11,932","$-12,228","$-12,523","$-12,819","$-13,115","$-55,419"
"T-176","107th/Halsted","2038","Current Obligations","RDA - Yellow Banana Grocery - Save-A-Lot - 10700 S Halsted St","$-2,265,000","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Fund Balance","FY 2024 Year End Available Fund Balance","$4,529,073","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-176","107th/Halsted","2038","Revenue","Collection Loss","$0","$-292,604","$-292,604","$-292,604","$-337,832","$-337,832","$-337,832","$-384,417","$-384,417","$-384,417","$-432,399","$-1,828,440"
"T-176","107th/Halsted","2038","Revenue","Property Tax Extension","$0","$2,170,024","$2,170,024","$2,170,024","$2,505,444","$2,505,444","$2,505,444","$2,850,928","$2,850,928","$2,850,928","$3,206,776","$13,560,152"
"T-176","107th/Halsted","2038","TRR - First Look Hold","ISW - Phase I - Corridor 12 - (Less) Admin - Additional Funding","$-1,241","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
"T-073","111th Street/Kedzie Avenue Business District","2035","Current Obligations","CDOT - ADA Polling Place - Mt Greewood Park/Mt Greenwood Library","$-55,477","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0"
